cpos,sample,left,match,right,l1,r1,r2,syn_env,meaning,gender,emphasis,emphasis3,final,dur,sr,tgrm_frq_p1,tgrm_frq_p2,l1_m_bgrm_frq,l1_m_tp_fw,l1_m_tp_bw,m_r1_bgrm_frq,m_r1_tp_fw,m_r1_tp_bw,l1_m_odds,m_r1_odds
30897339,be,"mob , people from abroad",must,be looking at us and,abroad,be,looking,progressive,epistemic,female,no,low,y,0.190000000000055,6.8713450292444405,29,4,13,0.0013659766733214247,7.167352159578339e-5,52467,0.2892688198127667,0.02615983390771587,0.89792,1.89156
228274151,be,saying Obamacare and executive actions,must,be overturned but she will,actions,be,overturned,passive,deontic,male,no,low,NA,0.269999999999982,5.496610669024832,1,26,52,0.002212671801199949,2.8669408638313355e-4,52467,0.2892688198127667,0.02615983390771587,0.85185,1.89156
45278725,be,we believe school day activities,must,be inclusive for all students,activities,be,inclusive,copula_adj,deontic,male,no,low,NA,0.240000000000009,5.21517697988266,7,39,61,0.0013149669102588976,3.3631421671867593e-4,52467,0.2892688198127667,0.02615983390771587,0.66755,1.89156
178081472,be,will limited . The adrenaline,must,be popping for that guy,adrenaline,be,popping,progressive,epistemic,male,no,low,NA,0.199999999999818,7.631868131871804,1,1,NA,NA,NA,52467,0.2892688198127667,0.02615983390771587,NA,1.89156
181706014,be,That if he 's ahead,must,be all their fault .,ahead,be,all,copula_noun,epistemic,female,no,low,NA,0.200000000000273,6.300960100351465,50,1,3,5.272129764687275e-5,1.6540043445180783e-5,52467,0.2892688198127667,0.02615983390771587,0.59791,1.89156
121004787,be,and they had this airport,must,"be open , it has",airport,be,open,copula_adj,deontic,male,yes,mid,y,0.260000000000048,4.9516908212560296,59,1,2,1.0476140589806715e-4,1.1026695630120522e-5,52467,0.2892688198127667,0.02615983390771587,0.29494,1.89156
182272924,be,and to say that all,must,be born again . Born,all,be,born,copula_adj,epistemic,male,no,low,NA,0.190000000000055,6.512605042007195,24,55,274,2.3606037631814737e-4,0.0015106573013265116,52467,0.2892688198127667,0.02615983390771587,0.23913,1.89156
187440419,be,law states the pet alligator,must,be under four feet long,alligator,be,under,copula_adj,deontic,female,yes,mid,y,0.299999999999727,5.213903743324184,29,1,NA,NA,NA,52467,0.2892688198127667,0.02615983390771587,NA,1.89156
188468422,be,"Pete Sake , that alone",must,be worth a half a,alone,be,worth,copula_adj,epistemic,female,no,low,NA,0.230000000000018,4.341805148259074,31,6,25,3.857072327820291e-4,1.3783369537650653e-4,52467,0.2892688198127667,0.02615983390771587,0.24502,1.89156
106613946,be,arouses evil . And America,must,be strong or we 'll,america,be,strong,copula_adj,deontic,male,no,low,NA,0.210000000000036,5.491056071551805,68,32,187,0.0015967348054032823,0.0010309960414162688,52467,0.2892688198127667,0.02615983390771587,0.7786,1.89156
105487978,be,made a case why America,must,be made great again .,america,be,made,passive,deontic,female,yes,high,NA,0.400000000000006,5.690673705379439,879,32,187,0.0015967348054032823,0.0010309960414162688,52467,0.2892688198127667,0.02615983390771587,0.7786,1.89156
119315566,be,into line . The Americans,must,be ready to fight even,americans,be,ready,copula_adj,deontic,male,no,low,NA,0.230000000000018,5.855017006805195,144,18,158,0.0021347601097104563,8.711089547795212e-4,52467,0.2892688198127667,0.02615983390771587,0.79259,1.89156
75975919,be,people who think the ANC,must,be led to greater heights,anc,be,led,passive,deontic,female,no,low,NA,0.230000000000018,7.120355834642259,10,1,7,0.0026830203142966655,3.859343470542183e-5,52467,0.2892688198127667,0.02615983390771587,0.96144,1.89156
106936204,be,human life is precious and,must,be protected ! Freedom Means,and,be,protected,passive,deontic,male,yes,high,NA,0.279999999999745,4.937533524046265,168,992,2676,2.2819697696992787e-4,0.014753718753101257,52467,0.2892688198127667,0.02615983390771587,0.29864,1.89156
